0.34825724,0.15900399,0.35098252,
0.34113726,0.15628581,0.34917036,
0.33887014,0.15571114,0.3495165,
0.33763957,0.15547556,0.34975708,
0.3368922,0.15538512,0.34980422,
0.3363905,0.15535866,0.34972882,
0.33601415,0.15535948,0.3495841,
0.33570406,0.15537067,0.3494012,
0.33542907,0.155386,0.34919688,
0.33517382,0.15540192,0.3489826,
0.33493048,0.15541758,0.34876463,
0.33469483,0.15543146,0.34854582,
0.33446497,0.15544418,0.34832898,
0.33424118,0.15545496,0.3481151,
0.33402243,0.1554645,0.34790492,
0.33380848,0.15547234,0.34769976,
0.33359918,0.15547876,0.34749958,
0.33339545,0.15548424,0.3473038,
0.33319697,0.15548857,0.34711328,
0.33300266,0.1554919,0.34692758,
