MSE,fitness
0.20240134,0.1354025
0.13577569,0.11304747
0.24448882,0.21701476
0.12197274,0.060150128
0.18843511,0.124039665
0.22594607,0.15958227
0.1756338,0.11203017
0.1658455,0.11623407
0.17995597,0.13083494
0.18094903,0.10208803
MSE,fitness
0.20240134,0.1354025
0.13577569,0.11304747
0.24448882,0.21701476
0.12197274,0.060150128
0.18843511,0.124039665
0.22594607,0.15958227
0.1756338,0.11203017
0.1658455,0.11623407
0.17995597,0.13083494
0.18094903,0.10208803
MSE,fitness
0.20240134,0.1354025
0.13577569,0.11304747
0.24448882,0.21701476
0.12197274,0.060150128
0.18843511,0.124039665
0.22594607,0.15958227
0.1756338,0.11203017
0.1658455,0.11623407
0.17995597,0.13083494
0.18094903,0.10208803
